O*NET-SOC Code,Title,Reported Job Title,Shown in My Next Move
13-1151.00,Training and Development Specialists,Supervisory Training Specialist,Y
13-1151.00,Training and Development Specialists,Technical Trainer,N
13-1151.00,Training and Development Specialists,Trainer,N
13-1151.00,Training and Development Specialists,Training Specialist,N
13-1161.00,Market Research Analysts and Marketing Specialists,Business Development Specialist,N
13-1161.00,Market Research Analysts and Marketing Specialists,Client Service and Consulting Manager,N
13-1161.00,Market Research Analysts and Marketing Specialists,Client Services Vice President,N
13-1161.00,Market Research Analysts and Marketing Specialists,Communications Specialist,N
13-1161.00,Market Research Analysts and Marketing Specialists,Market Analyst,Y
13-1161.00,Market Research Analysts and Marketing Specialists,Market Research Analyst,Y
13-1161.00,Market Research Analysts and Marketing Specialists,Market Research Consultant,Y
13-1161.00,Market Research Analysts and Marketing Specialists,Market Research Manager,N
13-1161.00,Market Research Analysts and Marketing Specialists,Product Line Manager,N
13-1161.00,Market Research Analysts and Marketing Specialists,Project Manager,Y
13-1199.01,Energy Auditors,Building Performance Consultant,N
13-1199.01,Energy Auditors,Energy Auditor,Y
13-1199.01,Energy Auditors,Energy Consultant,Y
13-1199.01,Energy Auditors,Energy Rater,Y
13-1199.01,Energy Auditors,Home Energy Rater,N
13-1199.01,Energy Auditors,Home Performance Consultant,Y
13-1199.02,Security Management Specialists,Consultant,Y
13-1199.02,Security Management Specialists,"Director, Security Risk Management",N
13-1199.02,Security Management Specialists,"Operations Staff Specialist, Security",N
13-1199.02,Security Management Specialists,Physical Security Engineer,N
13-1199.02,Security Management Specialists,Physical Security Specialist,Y
13-1199.02,Security Management Specialists,"Principal Engineer, Security Engineering and Applied Science",N
13-1199.02,Security Management Specialists,"Section Chief, Physical Security Specialist",N
13-1199.02,Security Management Specialists,Security Analyst,Y
13-1199.02,Security Management Specialists,Security Consultant,Y
13-1199.02,Security Management Specialists,Security Specialist,N
13-1199.03,Customs Brokers,Customs Broker,Y
13-1199.03,Customs Brokers,Customs Compliance Director,Y
13-1199.03,Customs Brokers,Import Manager,Y
13-1199.04,Business Continuity Planners,Business Continuity Analyst,Y
13-1199.04,Business Continuity Planners,Business Continuity and Crisis Management Director,Y
13-1199.04,Business Continuity Planners,Business Continuity Coordinator,Y
13-1199.04,Business Continuity Planners,Business Continuity Global Director,N
13-1199.04,Business Continuity Planners,Business Continuity Management Director,N
13-1199.04,Business Continuity Planners,Business Continuity Manager,Y
13-1199.04,Business Continuity Planners,Business Continuity Planning Director,N
13-1199.04,Business Continuity Planners,Business Continuity Strategy Director,N
13-1199.04,Business Continuity Planners,IT Disaster Recovery Manager (Information Technology Disaster Recovery Manager),N
13-1199.04,Business Continuity Planners,IT Service Continuity Supervisor (Information Technology Service Continuity Supervisor),N
13-1199.05,Sustainability Specialists,Champion of Sustainable Design,N
13-1199.05,Sustainability Specialists,"Chief Specialist, LEED (Chief Specialist, Leadership in Energy and Environmental Design)",N
13-1199.05,Sustainability Specialists,Lead Sustainability Specialist,N
13-1199.05,Sustainability Specialists,Senior Sustainability Advisor,N
13-1199.05,Sustainability Specialists,Senior Sustainability Consultant,N
13-1199.05,Sustainability Specialists,Sustainability Consultant,Y
13-1199.05,Sustainability Specialists,Sustainability Coordinator,Y
13-1199.05,Sustainability Specialists,Sustainability Specialist,Y
13-1199.05,Sustainability Specialists,Sustainable Design Consultant,N
13-1199.05,Sustainability Specialists,Sustainable Design Coordinator,Y
13-1199.06,Online Merchants,Marketing Director,Y
13-1199.06,Online Merchants,Marketing Specialist,N
13-1199.06,Online Merchants,Master Hearth Technician,Y
13-1199.06,Online Merchants,Online Marketing Manager,N
13-1199.06,Online Merchants,Online Services Manager,Y
13-1199.06,Online Merchants,"Owner, E Commerce Company",N
13-1199.06,Online Merchants,Social Media Director,N
13-1199.06,Online Merchants,Supervisor of Operations,Y
13-1199.06,Online Merchants,Vice President of Marketing,N
13-1199.06,Online Merchants,Wholesale Representative,N
13-2011.01,Accountants,Accountant,Y
13-2011.01,Accountants,Accounting Manager,Y
13-2011.01,Accountants,Accounting Officer,N
13-2011.01,Accountants,Accounting Supervisor,N
13-2011.01,Accountants,Business Analyst,N
13-2011.01,Accountants,Certified Public Accountant (CPA),Y
13-2011.01,Accountants,Cost Accountant,N
13-2011.01,Accountants,Financial Reporting Accountant,N
13-2011.01,Accountants,General Accountant,N
13-2011.01,Accountants,Staff Accountant,Y
13-2011.02,Auditors,Assurance Manager,Y
13-2011.02,Auditors,Assurance Senior,N
13-2011.02,Auditors,Audit Manager,N
13-2011.02,Auditors,Audit Partner,N
13-2011.02,Auditors,Auditor,Y
13-2011.02,Auditors,Auditor-in-Charge,Y
13-2011.02,Auditors,Deputy for Audit,N
13-2011.02,Auditors,Financial Auditor,N
13-2011.02,Auditors,Internal Audit Director,N
13-2011.02,Auditors,Internal Auditor,Y
13-2021.01,Assessors,Appraiser,Y
13-2021.01,Assessors,Assessor,Y
13-2021.01,Assessors,Commercial Appraiser,Y
13-2021.01,Assessors,County Assessor,N
13-2021.01,Assessors,Deputy Assessor,N
13-2021.01,Assessors,Field Appraiser,N
13-2021.01,Assessors,Personal Property Appraiser,N
13-2021.01,Assessors,Real Property Appraiser,N
13-2021.01,Assessors,Residential Appraiser,Y
13-2021.01,Assessors,Tax Assessor,N
13-2021.02,"Appraisers, Real Estate",Appraiser,Y
13-2021.02,"Appraisers, Real Estate",Certified Real Estate Appraiser,Y
13-2021.02,"Appraisers, Real Estate",Certified Residential Real Estate Appraiser,N
13-2021.02,"Appraisers, Real Estate",Commercial Real Estate Appraiser,N
13-2021.02,"Appraisers, Real Estate",Real Estate Appraiser,Y
13-2021.02,"Appraisers, Real Estate",Real Property Appraiser,N
13-2021.02,"Appraisers, Real Estate",Residential Fee Appraiser,N
13-2021.02,"Appraisers, Real Estate",Residential Real Estate Appraiser,N
13-2021.02,"Appraisers, Real Estate",Staff Appraiser,N
13-2021.02,"Appraisers, Real Estate",Valuation Consultant,Y
13-2031.00,Budget Analysts,Accounting Supervisor,N
13-2031.00,Budget Analysts,Budget Analyst,Y
13-2031.00,Budget Analysts,Budget and Policy Analyst,Y
13-2031.00,Budget Analysts,Budget Coordinator,N
13-2031.00,Budget Analysts,Budget Officer,Y
13-2031.00,Budget Analysts,Chief Financial Officer (CFO),Y
13-2031.00,Budget Analysts,Cost Accountant,N
13-2031.00,Budget Analysts,Staff Analyst,N
13-2041.00,Credit Analysts,Analyst,Y
13-2041.00,Credit Analysts,Credit Administrator,N
13-2041.00,Credit Analysts,Credit Analyst,Y
13-2041.00,Credit Analysts,Credit and Collections Analyst,N
13-2041.00,Credit Analysts,Credit Manager,Y
13-2041.00,Credit Analysts,Credit Representative,N
13-2041.00,Credit Analysts,Credit Risk Analyst,N
13-2041.00,Credit Analysts,Risk Analyst,N
13-2041.00,Credit Analysts,Underwriter,Y
13-2051.00,Financial Analysts,Credit Products Officer,N
13-2051.00,Financial Analysts,Equity Research Analyst,Y
13-2051.00,Financial Analysts,Financial Analyst,Y
13-2051.00,Financial Analysts,Investment Analyst,Y
13-2051.00,Financial Analysts,Operational Risk Analyst,N
13-2051.00,Financial Analysts,Planning Analyst,N
13-2051.00,Financial Analysts,Real Estate Analyst,N
13-2051.00,Financial Analysts,Research Analyst,N
13-2051.00,Financial Analysts,Securities Analyst,Y
13-2052.00,Personal Financial Advisors,Account Executive,N
13-2052.00,Personal Financial Advisors,Analyst,N
13-2052.00,Personal Financial Advisors,Certified Financial Planner (CFP),Y
13-2052.00,Personal Financial Advisors,Financial Advisor,Y
13-2052.00,Personal Financial Advisors,Financial Consultant,N
13-2052.00,Personal Financial Advisors,Financial Counselor,N
13-2052.00,Personal Financial Advisors,Financial Planner,Y
13-2052.00,Personal Financial Advisors,Investment Advisor,N
13-2052.00,Personal Financial Advisors,Portfolio Manager,Y
13-2052.00,Personal Financial Advisors,Registered Representative,N
13-2053.00,Insurance Underwriters,Account Underwriter,Y
13-2053.00,Insurance Underwriters,Automobile and Property Underwriter,N
13-2053.00,Insurance Underwriters,Commercial Lines Underwriter,N
13-2053.00,Insurance Underwriters,Commercial Underwriter,N
13-2053.00,Insurance Underwriters,Customer Service Representative,Y
13-2053.00,Insurance Underwriters,Health Underwriter,N
13-2053.00,Insurance Underwriters,Life Underwriter,N
13-2053.00,Insurance Underwriters,Personal Lines Underwriter,Y
13-2053.00,Insurance Underwriters,Underwriter,Y
13-2053.00,Insurance Underwriters,Underwriting Director,N
13-2061.00,Financial Examiners,Bank Secrecy Act Anti-Money Laundering Officer (BSA/AML Officer),N
13-2061.00,Financial Examiners,Community Reinvestment Act Officer (CRA Officer),N
13-2061.00,Financial Examiners,Credit Union Examiner,Y
13-2061.00,Financial Examiners,Credit Union Field Examiner,N
13-2061.00,Financial Examiners,Examining Officer,Y
13-2061.00,Financial Examiners,Home Mortgage Disclosure Act Specialist (HMDA Specialist),N
13-2061.00,Financial Examiners,Principal Examiner,Y
13-2061.00,Financial Examiners,Senior Capital Markets Specialist,N
13-2061.00,Financial Examiners,Senior Examiner,N
13-2061.00,Financial Examiners,Supervisory Examiner,Y
13-2071.00,Credit Counselors,Assistant Director for Financial Literacy,Y
13-2071.00,Credit Counselors,Certified Consumer Credit and Housing Counselor,Y
13-2071.00,Credit Counselors,Certified Credit Counselor,Y
13-2071.00,Credit Counselors,Certified Personal Finance Counselor,N
13-2071.00,Credit Counselors,Counseling Program Leader,N
13-2071.00,Credit Counselors,Counselor,N
13-2071.00,Credit Counselors,Credit Counselor,Y
13-2071.00,Credit Counselors,Financial Coach,N
13-2071.00,Credit Counselors,Financial Health Counselor,N
13-2071.00,Credit Counselors,Financial Wellness Coach,N
13-2071.01,Loan Counselors,Commercial Lending Vice President,N
13-2071.01,Loan Counselors,Financial Aid Administrator,Y
13-2071.01,Loan Counselors,Financial Aid Advisor,N
13-2071.01,Loan Counselors,Financial Aid Counselor,Y
13-2071.01,Loan Counselors,Financial Aid Director,Y
13-2071.01,Loan Counselors,Financial Aid Officer,N
13-2071.01,Loan Counselors,Financial Assistance Advisor,Y
13-2071.01,Loan Counselors,Lending Services Manager,N
13-2071.01,Loan Counselors,Loan Counselor,N
13-2071.01,Loan Counselors,Pell Coordinator,N
13-2072.00,Loan Officers,Branch Manager,Y
13-2072.00,Loan Officers,Business Banking Officer,N
13-2072.00,Loan Officers,Commercial Banker,N
13-2072.00,Loan Officers,Commercial Loan Officer,N
13-2072.00,Loan Officers,Corporate Banking Officer,N
13-2072.00,Loan Officers,Loan Officer,Y
13-2072.00,Loan Officers,Mortgage Loan Officer,Y
13-2072.00,Loan Officers,Mortgage Loan Originator,N
13-2072.00,Loan Officers,Portfolio Manager,N
13-2072.00,Loan Officers,Relationship Manager,Y
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",City Tax Auditor,N
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Delinquent Tax Collection Assistant,N
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Revenue Agent,Y
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Revenue Collector,N
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Revenue Officer,Y
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Revenue Specialist,N
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Tax Auditor,Y
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Tax Collector,N
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Tax Compliance Officer,N
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Tax Examiner,Y
13-2082.00,Tax Preparers,Certified Income Tax Preparer (CTP),N
13-2082.00,Tax Preparers,Corporate Tax Preparer,N
13-2082.00,Tax Preparers,Enrolled Agent,N
13-2082.00,Tax Preparers,Income Tax Preparer,Y
13-2082.00,Tax Preparers,Master Tax Advisor,N
13-2082.00,Tax Preparers,Tax Advisor,Y
13-2082.00,Tax Preparers,Tax Associate,N
13-2082.00,Tax Preparers,Tax Consultant,Y
13-2082.00,Tax Preparers,Tax Preparer,Y
13-2082.00,Tax Preparers,Tax Specialist,N
13-2099.02,Risk Management Specialists,Chief Risk Officer,Y
13-2099.02,Risk Management Specialists,Credit Risk Management Director,Y
13-2099.02,Risk Management Specialists,Global Risk Management Director,N
13-2099.02,Risk Management Specialists,Risk and Insurance Consultant,N
13-2099.02,Risk Management Specialists,Risk Management Director,Y
13-2099.02,Risk Management Specialists,Risk Manager,Y
13-2099.04,"Fraud Examiners, Investigators and Analysts",Certified Fraud Examiner,Y
13-2099.04,"Fraud Examiners, Investigators and Analysts",Inspector General,Y
13-2099.04,"Fraud Examiners, Investigators and Analysts",Investigator,Y
13-2099.04,"Fraud Examiners, Investigators and Analysts",Special Agent,Y
13-2099.04,"Fraud Examiners, Investigators and Analysts",Special Investigation Unit Investigator,N
15-1111.00,Computer and Information Research Scientists,Computer Scientist,Y
15-1111.00,Computer and Information Research Scientists,Control System Computer Scientist,Y
15-1111.00,Computer and Information Research Scientists,Scientific Programmer Analyst,Y
15-1121.00,Computer Systems Analysts,Applications Analyst,N
15-1121.00,Computer Systems Analysts,Business Analyst,N
15-1121.00,Computer Systems Analysts,Business Systems Analyst,Y
15-1121.00,Computer Systems Analysts,Computer Analyst,N
15-1121.00,Computer Systems Analysts,Computer Systems Analyst,Y
15-1121.00,Computer Systems Analysts,Computer Systems Consultant,N
15-1121.00,Computer Systems Analysts,Information Systems Analyst (ISA),N
15-1121.00,Computer Systems Analysts,Programmer Analyst,Y
15-1121.00,Computer Systems Analysts,Systems Analyst,Y
15-1121.00,Computer Systems Analysts,Systems Engineer,N
15-1121.01,Informatics Nurse Specialists,"Business Consultant, Clinical Informatics",Y
15-1121.01,Informatics Nurse Specialists,Clinical Applications Specialist,N
15-1121.01,Informatics Nurse Specialists,Clinical Coordinator,N
15-1121.01,Informatics Nurse Specialists,Clinical Informatics Director,Y
15-1121.01,Informatics Nurse Specialists,Clinical Informatics Specialist,N
15-1121.01,Informatics Nurse Specialists,Clinical Informatics Strategist,N
15-1121.01,Informatics Nurse Specialists,Clinical Information Systems Director,Y
15-1121.01,Informatics Nurse Specialists,Consultant,Y
15-1121.01,Informatics Nurse Specialists,Director Clinical Information Services,N
15-1121.01,Informatics Nurse Specialists,Nursing Information Systems Coordinator,N
15-1122.00,Information Security Analysts,Computer Security Specialist,N
15-1122.00,Information Security Analysts,Computer Specialist,N
15-1122.00,Information Security Analysts,Data Security Administrator,Y
15-1122.00,Information Security Analysts,Information Security Analyst,Y
15-1122.00,Information Security Analysts,Information Security Manager,N
15-1122.00,Information Security Analysts,Information Security Officer,Y
15-1122.00,Information Security Analysts,Information Security Specialist,N
15-1122.00,Information Security Analysts,Information Systems Security Analyst,N
15-1122.00,Information Security Analysts,Information Technology Security Analyst,N
15-1122.00,Information Security Analysts,Information Technology Specialist,Y
15-1131.00,Computer Programmers,Analyst Programmer,Y
15-1131.00,Computer Programmers,Applications Developer,N
15-1131.00,Computer Programmers,Computer Programmer,Y
15-1131.00,Computer Programmers,Computer Programmer Analyst,N
15-1131.00,Computer Programmers,Internet Programmer,N
15-1131.00,Computer Programmers,Java Developer,N
15-1131.00,Computer Programmers,Programmer,Y
15-1131.00,Computer Programmers,Programmer Analyst,Y
15-1131.00,Computer Programmers,Software Developer,N
15-1131.00,Computer Programmers,Web Programmer,N
15-1132.00,"Software Developers, Applications",Application Integration Engineer,Y
15-1132.00,"Software Developers, Applications",Applications Developer,N
15-1132.00,"Software Developers, Applications",Business Systems Analyst,N
15-1132.00,"Software Developers, Applications",Computer Consultant,N
15-1132.00,"Software Developers, Applications",Programmer Analyst,Y
15-1132.00,"Software Developers, Applications",Software Architect,N
15-1132.00,"Software Developers, Applications",Software Developer,N
15-1132.00,"Software Developers, Applications",Software Development Engineer,Y
15-1132.00,"Software Developers, Applications",Software Engineer,Y
15-1132.00,"Software Developers, Applications",Technical Consultant,N
15-1133.00,"Software Developers, Systems Software",Developer,N
15-1133.00,"Software Developers, Systems Software",Infrastructure Engineer,N
15-1133.00,"Software Developers, Systems Software",Network Engineer,N
15-1133.00,"Software Developers, Systems Software",Publishing Systems Analyst,N
15-1133.00,"Software Developers, Systems Software",Senior Software Engineer,N
15-1133.00,"Software Developers, Systems Software",Software Architect,Y
15-1133.00,"Software Developers, Systems Software",Software Developer,Y
15-1133.00,"Software Developers, Systems Software",Software Engineer,Y
15-1133.00,"Software Developers, Systems Software",Systems Coordinator,N
15-1133.00,"Software Developers, Systems Software",Systems Engineer,Y
15-1134.00,Web Developers,Web Designer,Y
15-1134.00,Web Developers,Web Developer,Y
15-1134.00,Web Developers,Webmaster,Y
15-1141.00,Database Administrators,Database Administration Manager,Y
15-1141.00,Database Administrators,Database Administrator (DBA),Y
15-1141.00,Database Administrators,Database Analyst,Y
15-1141.00,Database Administrators,Database Coordinator,Y
15-1141.00,Database Administrators,Database Programmer,N
15-1141.00,Database Administrators,Information Systems Manager,N
15-1141.00,Database Administrators,Management Information Systems Director (MIS Director),N
15-1141.00,Database Administrators,Programmer Analyst,N
15-1141.00,Database Administrators,Systems Manager,N
15-1142.00,Network and Computer Systems Administrators,Information Technology Director (IT Director),N
15-1142.00,Network and Computer Systems Administrators,Information Technology Manager (IT Manager),N
15-1142.00,Network and Computer Systems Administrators,Information Technology Specialist (IT Specialist),Y
15-1142.00,Network and Computer Systems Administrators,Local Area Network Administrator (LAN Administrator),N
15-1142.00,Network and Computer Systems Administrators,Network Administrator,Y
15-1142.00,Network and Computer Systems Administrators,Network Engineer,Y
15-1142.00,Network and Computer Systems Administrators,Network Manager,N
15-1142.00,Network and Computer Systems Administrators,Network Specialist,N
15-1142.00,Network and Computer Systems Administrators,Systems Administrator,Y
15-1142.00,Network and Computer Systems Administrators,Systems Engineer,N
15-1143.00,Computer Network Architects,Network Analyst,Y
15-1143.00,Computer Network Architects,Network Consultant,N
15-1143.00,Computer Network Architects,Network Engineer,Y
15-1143.00,Computer Network Architects,Network Manager,N
15-1143.00,Computer Network Architects,Networking Systems and Distributed Systems Engineer,N
15-1143.00,Computer Network Architects,System Programmer,N
15-1143.00,Computer Network Architects,Systems Analyst,Y
15-1143.00,Computer Network Architects,Systems Engineer,Y
15-1143.00,Computer Network Architects,Telecommunications Analyst,N
15-1143.00,Computer Network Architects,Telecommunications Engineer,N
15-1143.01,Telecommunications Engineering Specialists,Consultant,Y
15-1143.01,Telecommunications Engineering Specialists,Network Technician,Y
15-1143.01,Telecommunications Engineering Specialists,Principal Consultant,N
15-1143.01,Telecommunications Engineering Specialists,Registered Communications Distribution Designer (RCDD),N
15-1143.01,Telecommunications Engineering Specialists,Senior Consultant,N
15-1143.01,Telecommunications Engineering Specialists,Senior Telecommunications Consultant,N
15-1143.01,Telecommunications Engineering Specialists,Telecom Network Manager (Telecommunication Network Manager),N
15-1143.01,Telecommunications Engineering Specialists,Telecommunication Engineer,Y
15-1143.01,Telecommunications Engineering Specialists,Telecommunication Systems Designer,N
15-1143.01,Telecommunications Engineering Specialists,Telecommunications Consultant,Y
15-1151.00,Computer User Support Specialists,Computer Specialist,N
15-1151.00,Computer User Support Specialists,Computer Support Specialist,Y
15-1151.00,Computer User Support Specialists,Computer Technician,Y
15-1151.00,Computer User Support Specialists,Electronic Data Processing Auditor (EDP Auditor),N
15-1151.00,Computer User Support Specialists,Help Desk Analyst,N
15-1151.00,Computer User Support Specialists,Information Technology Specialist (IT Specialist),Y
15-1151.00,Computer User Support Specialists,Network Support Specialist,N
15-1151.00,Computer User Support Specialists,Network Technician,N
15-1151.00,Computer User Support Specialists,Support Specialist,Y
15-1151.00,Computer User Support Specialists,Technical Support Specialist,N
15-1152.00,Computer Network Support Specialists,Computer Network Specialist,N
15-1152.00,Computer Network Support Specialists,IT Consultant (Information Technology Consultant),N
15-1152.00,Computer Network Support Specialists,Network Engineer,Y
15-1152.00,Computer Network Support Specialists,Network Specialist,Y
15-1152.00,Computer Network Support Specialists,Network Support Specialist,N
15-1152.00,Computer Network Support Specialists,Network Technical Analyst,Y
15-1152.00,Computer Network Support Specialists,Network Technician,Y
15-1152.00,Computer Network Support Specialists,Personal Computer Network Analyst,N
15-1152.00,Computer Network Support Specialists,Senior IT Assistant (Senior Information Technology Assistant),N
15-1152.00,Computer Network Support Specialists,Systems Specialist,N
15-1199.01,Software Quality Assurance Engineers and Testers,Product Assurance Engineer,N
15-1199.01,Software Quality Assurance Engineers and Testers,Quality Assurance Analyst (QA Analyst),Y
15-1199.01,Software Quality Assurance Engineers and Testers,Quality Assurance Director (QA Director),Y
15-1199.01,Software Quality Assurance Engineers and Testers,Software Quality Assurance Engineer (SQA Engineer),Y
15-1199.01,Software Quality Assurance Engineers and Testers,Software Quality Engineer,Y
15-1199.01,Software Quality Assurance Engineers and Testers,Software Test Engineer,N
15-1199.02,Computer Systems Engineers/Architects,Electronic Data Interchange System Developer (EDI System Developer),Y
15-1199.02,Computer Systems Engineers/Architects,System Architect,Y
15-1199.02,Computer Systems Engineers/Architects,Systems Engineer,Y
15-1199.03,Web Administrators,Corporate Webmaster,Y
15-1199.03,Web Administrators,Information Technology Manager (IT Manager),Y
15-1199.03,Web Administrators,Web Site Manager,Y
15-1199.04,Geospatial Information Scientists and Technologists,Geographic Information Systems Administrator (GIS Administrator),N
15-1199.04,Geospatial Information Scientists and Technologists,Geographic Information Systems Analyst (GIS Analyst),Y
15-1199.04,Geospatial Information Scientists and Technologists,Geographic Information Systems Coordinator (GIS Coordinator),Y
15-1199.04,Geospatial Information Scientists and Technologists,Geographic Information Systems Manager (GIS Manager),N
15-1199.04,Geospatial Information Scientists and Technologists,Geographic Information Systems Specialist (GIS Specialist),N
15-1199.04,Geospatial Information Scientists and Technologists,Geographical Information System Analyst (GIS Analyst),Y
15-1199.04,Geospatial Information Scientists and Technologists,Geospatial Intelligence Subject Matter Expert,Y
15-1199.04,Geospatial Information Scientists and Technologists,Geospatial Program Management Officer,N
15-1199.04,Geospatial Information Scientists and Technologists,Resource Analyst,N
15-1199.04,Geospatial Information Scientists and Technologists,Technical Leader,N
15-1199.05,Geographic Information Systems Technicians,Cartographer,Y
15-1199.05,Geographic Information Systems Technicians,Geographic Information Systems Analyst (GIS Analyst),Y
15-1199.05,Geographic Information Systems Technicians,Geographic Information Systems Coordinator (GIS Coordinator),N
15-1199.05,Geographic Information Systems Technicians,Geographic Information Systems Specialist (GIS Specialist),Y
15-1199.05,Geographic Information Systems Technicians,Geographic Information Systems Technician (GIS Technician),Y
15-1199.05,Geographic Information Systems Technicians,Technical Support Specialist,N
15-1199.06,Database Architects,Data Administrator,N
15-1199.06,Database Architects,Data Architect,Y
15-1199.06,Database Architects,Data Officer,N
15-1199.06,Database Architects,Database Architect,Y
15-1199.06,Database Architects,Database Consultant,N
15-1199.06,Database Architects,Information Architect,Y
15-1199.06,Database Architects,Information Modeling Engineer Specialist,N
15-1199.06,Database Architects,Information Technology Architect (IT Architect),N
15-1199.06,Database Architects,System Engineer,N
15-1199.06,Database Architects,Technical Operations Vice President,Y
15-1199.08,Business Intelligence Analysts,Business Intelligence Analyst,Y
15-1199.08,Business Intelligence Analysts,Business Intelligence Manager,Y
15-1199.08,Business Intelligence Analysts,Commercial Intelligence Manager,N
15-1199.08,Business Intelligence Analysts,Competitive Intelligence Analyst,Y
15-1199.08,Business Intelligence Analysts,"Consultant, Strategic Business and Technology Intelligence",N
15-1199.08,Business Intelligence Analysts,Director of Enterprise Strategy,N
15-1199.08,Business Intelligence Analysts,Director of Market Intelligence,N
15-1199.08,Business Intelligence Analysts,"Director, Global Intelligence",N
15-1199.08,Business Intelligence Analysts,Intelligence Analyst,N
15-1199.08,Business Intelligence Analysts,"Manager, Market Intelligence",Y
15-1199.09,Information Technology Project Managers,IT Manager,N
15-1199.09,Information Technology Project Managers,IT Project Manager,Y
15-1199.09,Information Technology Project Managers,Manager of IT,N
15-1199.09,Information Technology Project Managers,Program Manager,Y
15-1199.09,Information Technology Project Managers,Project Manager,Y
15-1199.09,Information Technology Project Managers,Project Manager/Team Coach,Y
15-1199.09,Information Technology Project Managers,Senior Lead Project Manager,N
15-1199.09,Information Technology Project Managers,Senior Project Leader/Team Lead,N
15-1199.09,Information Technology Project Managers,Technical Project Lead (Project Manager),N
15-1199.09,Information Technology Project Managers,Transition Program Manager,N
15-1199.10,Search Marketing Strategists,Channel Supervisor,N
15-1199.10,Search Marketing Strategists,"Director of Audience Generation, Search, & Analytics",N
15-1199.10,Search Marketing Strategists,Director of Online Marketing Strategy & Performance,N
15-1199.10,Search Marketing Strategists,Director of Search Engine Optimization (Director of SEO),Y
15-1199.10,Search Marketing Strategists,"Director, Search Marketing Strategies",N
15-1199.10,Search Marketing Strategists,Ecommerce Marketing Manager,Y
15-1199.10,Search Marketing Strategists,Internet Marketing Consultant,N
15-1199.10,Search Marketing Strategists,Internet Marketing Specialist,Y
15-1199.10,Search Marketing Strategists,Senior Search Engine Optimization Associate (Senior SEO Associate),N
15-1199.10,Search Marketing Strategists,Senior Search Engine Optimization Specialist (Senior SEO Specialist),Y
15-1199.11,Video Game Designers,Design Director,Y
15-1199.11,Video Game Designers,Designer/Writer,N
15-1199.11,Video Game Designers,Game Designer,Y
15-1199.11,Video Game Designers,Game Designer/Creative Director,N
15-1199.11,Video Game Designers,Lead Designer,N
15-1199.11,Video Game Designers,Lead Game Designer,N
15-1199.11,Video Game Designers,Lead Level Designer,N
15-1199.11,Video Game Designers,Mid Level Game Designer,N
15-1199.11,Video Game Designers,Senior Game Designer,Y
15-1199.11,Video Game Designers,World Designer,Y
15-1199.12,Document Management Specialists,Business Process Analyst,Y
15-1199.12,Document Management Specialists,Business Records Manager,Y
15-1199.12,Document Management Specialists,Document Control Manager,Y
15-1199.12,Document Management Specialists,"Document Control, Electronic Content, and Records Manager",N
15-1199.12,Document Management Specialists,Document Management Consultant,N
15-1199.12,Document Management Specialists,Implementation Specialist,N
15-1199.12,Document Management Specialists,IT Project Manager,N
15-1199.12,Document Management Specialists,"Manager, Enterprise Content Management",N
15-1199.12,Document Management Specialists,Record Systems Analyst,N
15-1199.12,Document Management Specialists,Records Manager,Y
15-2011.00,Actuaries,Actuarial Analyst,Y
15-2011.00,Actuaries,Actuarial Assistant,N
15-2011.00,Actuaries,Actuarial Associate,N
15-2011.00,Actuaries,Actuarial Consultant,N
15-2011.00,Actuaries,Actuary,Y
15-2011.00,Actuaries,Consulting Actuary,N
15-2011.00,Actuaries,Health Actuary,N
15-2011.00,Actuaries,Pricing Actuary,Y
15-2011.00,Actuaries,Pricing Analyst,N
15-2011.00,Actuaries,Product Development Actuary,Y
15-2021.00,Mathematicians,Agent-Based Modeler,Y
15-2021.00,Mathematicians,Computational Scientist,N
15-2021.00,Mathematicians,Cryptographer,N
15-2021.00,Mathematicians,Cryptographic Vulnerability Analyst,N
15-2021.00,Mathematicians,Director of Quantitative Research,N
15-2021.00,Mathematicians,Emerging Solutions Executive,N
15-2021.00,Mathematicians,Image Scientist,N
15-2021.00,Mathematicians,Lead Simulation Modeling Engineer,Y
15-2021.00,Mathematicians,Research Scientist,Y
15-2021.00,Mathematicians,Scientist,Y
15-2031.00,Operations Research Analysts,Analytical Strategist,Y
15-2031.00,Operations Research Analysts,Business Analytics Director,N
15-2031.00,Operations Research Analysts,Business Insight and Analytics Manager,N
15-2031.00,Operations Research Analysts,Decision Analyst,N
15-2031.00,Operations Research Analysts,Operations Research Analyst,Y
15-2031.00,Operations Research Analysts,Operations Research Group Manager,N
15-2031.00,Operations Research Analysts,Operations Research Manager,Y
15-2031.00,Operations Research Analysts,Scientist,Y
15-2041.00,Statisticians,Assistant Division Chief for Statistical Program Management,N
15-2041.00,Statisticians,Clinical Statistics Manager,N
15-2041.00,Statisticians,Human Resource Statistician,N
